342-342-621= -621
790(476-342= ERROR
149+145-521= -227
788-126+96= 758
414*32-763= 12485
24(351-652= ERROR
346-432*746= -321926
868)359+1= ERROR
37*520-901= 18339
157*14-893= 1305
6)193+248= ERROR
540-649+23= -86
519)544-664= ERROR
997+745*52= 39737
846)727-204= ERROR
396(290(897= ERROR
42)500-371= ERROR
955*504)898= ERROR
579)177-859= ERROR
547*791*461= 199464097
909*956+403= 869407
563(13)910= ERROR
43(945+343= ERROR
607)819(823= ERROR
735(824)492= ERROR
172-508*214= -108540
327)620*892= ERROR
913(175*229= ERROR
864-390(464= ERROR
968(637-246= ERROR
753-666+21= 108
63*403(942= ERROR
592(97+316= ERROR
184)146+582= ERROR
602+961(737= ERROR
962-639(436= ERROR
995*229)785= ERROR
557(784+763= ERROR
403+374(736= ERROR
351)752+12= ERROR
97+777-548= 326
305*518*569= 89896310
889-637+495= 747
75+897-101= 871
985*968(347= ERROR
521-921+610= 210
224+198*903= 179018
675)527+770= ERROR
549-47(363= ERROR
661*978)925= ERROR
900-23*85= -1055
149*629)781= ERROR
878*207*533= 96870618
507-506-30= -29
761-179)612= ERROR
70*848-190= 59170
180(233*22= ERROR
867+420*132= 56307
687)37+622= ERROR
96*344)594= ERROR
216*597*577= 74405304
253*300*704= 53433600
471*769-229= 361970
451*505(612= ERROR
450)402(172= ERROR
726)48)339= ERROR
522*102)40= ERROR
10*404-948= 3092
656+982+514= 2152
649-261-962= -574
258-25+404= 637
669+722*975= 704619
691*193(547= ERROR
391+536(917= ERROR
965*166)939= ERROR
864+368(628= ERROR
189+222*613= 136275
824*817(690= ERROR
362*489*372= 65850696
167)50+183= ERROR
669*504*539= 181737864
433-651-837= -1055
200(945*337= ERROR
466(410+868= ERROR
955+786(62= ERROR
968(202-853= ERROR
460+579*827= 479293
748-129-413= 206
805*767*487= 300690845
591(471+842= ERROR
330(334*70= ERROR
894(587+954= ERROR
792-925+290= 157
282+341(612= ERROR
661(159*5= ERROR
1+15-130= -114
442)355)550= ERROR
629+548*742= 407245
504(269+975= ERROR
346+107(753= ERROR
965)97)537= ERROR
983-136)629= ERROR
419)873)254= ERROR
622+629(519= ERROR
582)769+931= ERROR
395+119+860= 1374
97+837)445= ERROR
249)908(27= ERROR
830(380)347= ERROR
302+225*830= 187052
32(756+403= ERROR
927+267+48= 1242
491+634+917= 2042
607(725(819= ERROR
91-324*123= -39761
251(475(391= ERROR
687*591(264= ERROR
14(852*334= ERROR
515)689(460= ERROR
492)656+784= ERROR
844(845)461= ERROR
993)304*885= ERROR
223*445(434= ERROR
454-700)216= ERROR
880*692(853= ERROR
429-61(749= ERROR
824*972-523= 800405
587-597+709= 699
242*89(469= ERROR
759(578+87= ERROR
706)774(333= ERROR
240+882)838= ERROR
427*777(581= ERROR
268)461-648= ERROR
698+738*228= 168962
372)823+722= ERROR
298*777*60= 13892760
642(221+979= ERROR
594*147-445= 86873
894)236*137= ERROR
150)30*769= ERROR
62*643*204= 8132664
263)929*916= ERROR
201*322)451= ERROR
530)694)544= ERROR
565+648)685= ERROR
651)30)501= ERROR
972(908*115= ERROR
944*49(617= ERROR
84+953-273= 764
130)995)976= ERROR
376-562+420= 234
371(83+841= ERROR
706)842)805= ERROR
